nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,dataset,seed,n_nodes,n_edges,neighbourhood_n_nodes,max_cycle_length,max_ct_depth,max_path_length,max_c_set_size,search_depth,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,num_edges_est,best_model,aba_elapsed,ranking_elapsed,best_I
5,1.0,0.0,0.25,0.0,0.0,,13.0,15.0,random_graph_8_8,7816,8,8,8,8,5,7,0,10,11.728581428527832,49.06855034828186,False,v2,original_ranking,5,"[(1, 2), (2, 6), (2, 5), (2, 3), (2, 4)]",0.0265605449676513,6.758319616317749,22.197661468287
8,1.0,0.0,0.4,0.0,0.0,,16.0,36.0,random_graph_8_8,3578,8,8,8,8,5,7,0,10,11.728581428527832,49.42938590049744,True,v2,original_ranking,8,"[(0, 4), (4, 5), (3, 4), (2, 4), (4, 7), (0, 6), (1, 4), (3, 5)]",0.0316808223724365,7.235757827758789,36.51173077595971
10,1.0,0.0,0.5,0.0,0.0,,18.0,40.0,random_graph_8_8,2656,8,8,8,8,5,7,0,10,11.728581428527832,47.910144329071045,True,v2,original_ranking,10,"[(0, 3), (2, 4), (4, 7), (0, 5), (0, 1), (1, 4), (4, 5), (4, 6), (3, 4), (5, 6)]",0.0243482589721679,6.142700672149658,39.23419039145991
10,1.0,0.0,0.5,0.0,0.0,,18.0,18.0,random_graph_8_8,2688,8,8,8,8,5,7,0,10,11.728581428527832,48.77735733985901,True,v2,original_ranking,10,"[(0, 4), (0, 3), (4, 6), (2, 5), (0, 2), (2, 3), (2, 7), (0, 5), (2, 4), (1, 4)]",0.0513169765472412,11.785112857818604,26.11860645860994
2,1.0,0.0,0.1,0.0,0.0,,10.0,27.0,random_graph_8_8,2494,8,8,8,8,5,7,0,10,11.728581428527832,50.117403507232666,True,v2,original_ranking,2,"[(0, 7), (0, 4)]",0.0440430641174316,9.58529019355774,-64.90002030418344
8,1.0,0.0,0.4,0.0,0.0,,16.0,30.0,random_graph_8_8,183,8,8,8,8,5,7,0,10,11.728581428527832,48.530802965164185,False,v2,original_ranking,8,"[(3, 5), (4, 5), (5, 6), (0, 5), (1, 5), (4, 7), (6, 7), (2, 6)]",0.0270266532897949,6.0291831493377686,13.000383557269211
3,1.0,0.0,0.15,0.0,0.0,,11.0,18.0,random_graph_8_8,7977,8,8,8,8,5,7,0,10,11.728581428527832,49.621121883392334,True,v2,original_ranking,3,"[(1, 5), (1, 2), (1, 7)]",0.0200378894805908,4.9296040534973145,5.959297019757889
5,1.0,0.0,0.25,0.0,0.0,,13.0,17.0,random_graph_8_8,3199,8,8,8,8,5,7,0,10,11.728581428527832,48.70776987075806,False,v2,original_ranking,5,"[(1, 5), (1, 3), (1, 7), (1, 6), (0, 1)]",0.025935411453247,6.455872058868408,58.26138873989042
3,1.0,0.0,0.15,0.0,0.0,,11.0,20.0,random_graph_8_8,316,8,8,8,8,5,7,0,10,11.728581428527832,47.42518472671509,False,v2,original_ranking,3,"[(1, 5), (1, 6), (1, 7)]",0.0091285705566406,2.139714002609253,12.226562770636331
7,1.0,0.0,0.35,0.0,0.0,,15.0,25.0,random_graph_8_8,8266,8,8,8,8,5,7,0,10,11.728581428527832,49.119592905044556,False,v2,original_ranking,7,"[(1, 7), (1, 3), (1, 5), (1, 6), (2, 4), (1, 4), (0, 1)]",0.02133488655090332,5.342726945877075,47.09503169575204
